Station,Station,stop_lat,stop_lon
1 AV,1 AV,40.730953,-73.981628
103 ST-CORONA,103 ST-CORONA,40.749865,-73.8627
104 ST,104 ST,40.695178,-73.84433
110 ST,110 ST,40.79502,-73.94425
111 ST,111 ST,40.697418,-73.836345
121 ST,121 ST,40.700492,-73.828294
125 ST,125 ST,40.811109,-73.952343
135 ST,135 ST,40.814229,-73.94077
138/GRAND CONC,138/GRAND CONC,40.813224,-73.929849
14 ST,14 ST,40.737335,-73.996786
145 ST,145 ST,40.824783,-73.944216
149/GRAND CONC,149/GRAND CONC,40.818375,-73.927351
167 ST,167 ST,40.833773,-73.918438
168 ST,168 ST,40.840556,-73.940133
169 ST,169 ST,40.71047,-73.793604
170 ST,170 ST,40.840075,-73.917791
174-175 STS,174-175 STS,40.8459,-73.910136
175 ST,175 ST,40.847391,-73.939704
176 ST,176 ST,40.84848,-73.911794
18 AV,18 AV,40.607954,-74.001736
18 ST,18 ST,40.74104,-73.997871
181 ST,181 ST,40.849505,-73.933596
182-183 STS,182-183 STS,40.856093,-73.900741
183 ST,183 ST,40.858407,-73.903879
190 ST,190 ST,40.859022,-73.93418
191 ST,191 ST,40.855225,-73.929412
2 AV,2 AV,40.723402,-73.989938
20 AV,20 AV,40.604556,-73.998168
207 ST,207 ST,40.864621,-73.918822
21 ST-QNSBRIDGE,21 ST-QNSBRIDGE,40.754203,-73.942836
215 ST,215 ST,40.869444,-73.915279
23 ST,23 ST,40.741303,-73.989344
231 ST,231 ST,40.878856,-73.904834
25 ST,25 ST,40.660397,-73.998091
28 ST,28 ST,40.745494,-73.988691
3 AV,3 AV,40.732849,-73.986122
3 AV-149 ST,3 AV-149 ST,40.816109,-73.917757
30 AV,30 AV,40.766779,-73.921479
33 ST-RAWSON ST,33 ST-RAWSON ST,40.744587,-73.930997
34 ST-HERALD SQ,34 ST-HERALD SQ,40.749567,-73.98795
34 ST-PENN STA,34 ST-PENN STA,40.752287,-73.993391
36 AV,36 AV,40.756804,-73.929575
39 AV,39 AV,40.752882,-73.932755
4 AV-9 ST,4 AV-9 ST,40.670847,-73.988302
40 ST LOWERY ST,40 ST LOWERY ST,40.743781,-73.924016
42 ST-BRYANT PK,42 ST-BRYANT PK,40.754222,-73.984569
42 ST-PORT AUTH,42 ST-PORT AUTH,40.757308,-73.989735
45 ST,45 ST,40.648939,-74.010006
46 ST BLISS ST,46 ST BLISS ST,40.743132,-73.918435
47-50 STS ROCK,47-50 STS ROCK,40.758663,-73.981329
49 ST,49 ST,40.759901,-73.984139
4AV-9 ST,4AV-9 ST,40.670847,-73.988302
5 AVE,5 AVE,40.753821,-73.981963
50 ST,50 ST,40.588841,-73.983765
51 ST,51 ST,40.757107,-73.97192
53 ST,53 ST,40.645069,-74.014034
55 ST,55 ST,40.631435,-73.995476
57 ST-7 AV,57 ST-7 AV,40.764664,-73.980658
59 ST,59 ST,40.76266,-73.967258
59 ST COLUMBUS,59 ST COLUMBUS,40.768247,-73.981929
6 AV,6 AV,40.737335,-73.996786
63 DR-REGO PARK,63 DR-REGO PARK,40.729846,-73.861604
67 AV,67 AV,40.726523,-73.852719
71 ST,71 ST,40.619589,-73.998864
72 ST,72 ST,40.775594,-73.97641
74 ST-BROADWAY,74 ST-BROADWAY,40.746644,-73.891338
75 AV,75 AV,40.718331,-73.837324
75 ST-ELDERTS,75 ST-ELDERTS,40.691324,-73.867139
77 ST,77 ST,40.629742,-74.02551
79 ST,79 ST,40.613501,-74.00061
8 ST-NYU,8 ST-NYU,40.730328,-73.992629
82 ST-JACKSON H,82 ST-JACKSON H,40.747659,-73.883697
85 ST-FOREST PK,85 ST-FOREST PK,40.692435,-73.86001
86 ST,86 ST,40.622687,-74.028398
90 ST-ELMHURST,90 ST-ELMHURST,40.748408,-73.876613
96 ST,96 ST,40.791644,-73.964694
AQUEDUCT RACETR,AQUEDUCT RACETR,40.668234,-73.834058
ASTORIA BLVD,ASTORIA BLVD,40.770258,-73.917843
ASTORIA DITMARS,ASTORIA DITMARS,40.775036,-73.912034
ATL AV-BARCLAY,ATL AV-BARCLAY,40.684359,-73.977666
ATLANTIC AV,ATLANTIC AV,40.675345,-73.903097
AVENUE H,AVENUE H,40.62927,-73.961639
AVENUE J,AVENUE J,40.625039,-73.960803
