,Station,entries_diff,stop_lat,stop_lon
39,34 ST-HERALD SQ,120875.913793,40.749567,-73.98795
41,34 ST-PENN STA,115917.241379,40.752287,-73.993391
198,TIMES SQ-42 ST,96230.5086207,40.75529,-73.987495
74,86 ST,88998.2155172,40.622687,-74.028398
59,59 ST,79695.4310345,40.76266,-73.967258
31,23 ST,76994.137931,40.741303,-73.989344
60,59 ST COLUMBUS,73811.5086207,40.768247,-73.981929
143,GRD CNTRL-42 ST,68982.0086207,40.751776,-73.976848
115,CHAMBERS ST,68055.0689655,40.713243,-74.003401
134,FLUSHING-MAIN,61454.4051724,40.7596,-73.83003
50,47-50 STS ROCK,59631.6034483,40.758663,-73.981329
47,42 ST-PORT AUTH,56956.9568966,40.757308,-73.989735
54,50 ST,50936.8534483,40.588841,-73.983765
155,JKSN HT-ROOSVLT,50432.0803571,40.746644,-73.891338
80,ATL AV-BARCLAY,46254.4568966,40.684359,-73.977666
153,JAY ST-METROTEC,42781.3448276,40.69218,-73.985942
9,14 ST,41765.0689655,40.737335,-73.996786
161,LEXINGTON AV/53,40562.0172414,40.757552,-73.969055
152,JAMAICA CENTER,39938.6785714,40.702147,-73.801109
46,42 ST-BRYANT PK,39582.5258621,40.754222,-73.984569
6,125 ST,38827.8793103,40.811109,-73.952343
10,145 ST,37887.8706897,40.824783,-73.944216
101,BOROUGH HALL,37128.3706897,40.693219,-73.989998
140,GRAND ST,32751.8448276,40.711926,-73.94067
127,DEKALB AV,30749.8706897,40.690635,-73.981824
125,CROWN HTS-UTICA,30130.0614035,40.668897,-73.932942
103,BOWLING GREEN,29671.2931034,40.704817,-74.014065
94,BEDFORD AV,28323.1724138,40.717304,-73.956872
117,CHURCH AV,27935.4051724,40.650527,-73.962982
51,49 ST,27180.0614035,40.759901,-73.984139
13,168 ST,26466.0258621,40.840556,-73.940133
0,1 AV,24975.6724138,40.730953,-73.981628
135,FORDHAM RD,24927.5775862,40.861296,-73.897749
204,WALL ST,24859.25,40.706821,-74.0091
58,57 ST-7 AV,24812.5344828,40.764664,-73.980658
196,SUTPHIN-ARCHER,23800.0173913,40.70546,-73.810708
191,SPRING ST,23715.8534483,40.726227,-74.003739
156,JUNCTION BLVD,23507.2758621,40.749145,-73.869527
174,NOSTRAND AV,23100.4741379,40.680438,-73.950426
151,JAMAICA 179 ST,22084.9827586,40.712646,-73.783817
55,51 ST,21979.1858407,40.757107,-73.97192
36,3 AV-149 ST,21970.2155172,40.816109,-73.917757
169,MYRTLE-WYCKOFF,21338.6869565,40.699814,-73.911586
12,167 ST,20877.0517241,40.833773,-73.918438
1,103 ST-CORONA,20333.1206897,40.749865,-73.8627
158,KINGS HWY,19513.8157895,40.60867,-73.957734
108,BROOKLYN BRIDGE,19268.9224138,40.713243,-74.003401
111,CANAL ST,18631.5086207,40.720824,-74.005229
26,2 AV,18587.4181818,40.723402,-73.989938
71,8 ST-NYU,18523.7192982,40.730328,-73.992629
79,ASTORIA DITMARS,17704.7027027,40.775036,-73.912034
137,FULTON ST,17524.3454545,40.710197,-74.007691
62,63 DR-REGO PARK,17186.6293103,40.729846,-73.861604
141,GRAND-NEWTOWN,17146.4482759,40.737015,-73.877223
75,90 ST-ELMHURST,17137.5603448,40.748408,-73.876613
182,PRINCE ST,16410.0175439,40.724329,-73.997702
100,BLEECKER ST,16329.8947368,40.725915,-73.994659
7,135 ST,16199.8090909,40.814229,-73.94077
72,82 ST-JACKSON H,15821.3362069,40.747659,-73.883697
202,VERNON-JACKSON,15562.2327586,40.742626,-73.953581
194,STEINWAY ST,15401.2758621,40.756879,-73.92074
186,RECTOR ST,15193.137931,40.70722,-74.013342
37,30 AV,15006.6578947,40.766779,-73.921479
11,149/GRAND CONC,14770.1293103,40.818375,-73.927351
49,46 ST BLISS ST,14586.3070175,40.743132,-73.918435
4,111 ST,14347.1206897,40.697418,-73.836345
129,EAST BROADWAY,14306.9906542,40.713715,-73.990173
210,WORLD TRADE CTR,14106.25,40.714111,-74.008585
131,ELMHURST AV,14017.4137931,40.742454,-73.882017
3,110 ST,13844.2857143,40.79502,-73.94425
162,LEXINGTON AV/63,13707.8333333,40.76463,-73.966115
106,BROADWAY,13416.1071429,40.76182,-73.925508
17,175 ST,13294.2035398,40.847391,-73.939704
34,28 ST,13201.0172414,40.745494,-73.988691
123,COURT SQ,13064.1293103,40.747846,-73.946
87,BAY RIDGE AV,12799.5948276,40.634967,-74.023377
53,5 AVE,12750.2844828,40.753821,-73.981963
185,QUEENSBORO PLZ,12507.8793103,40.750582,-73.940202
78,ASTORIA BLVD,12480.5945946,40.770258,-73.917843
21,181 ST,12430.5172414,40.849505,-73.933596
105,BRIGHTON BEACH,12206.4224138,40.577621,-73.961376
193,ST. GEORGE,11984.3425926,40.643748,-74.073643
112,CARROLL ST,11983.2190476,40.680303,-73.995048
109,BURNSIDE AV,11961.2017544,40.853453,-73.907684
38,33 ST-RAWSON ST,11766.9396552,40.744587,-73.930997
45,40 ST LOWERY ST,11163.7678571,40.743781,-73.924016
19,18 AV,11162.7155172,40.607954,-74.001736
